№,ИНН,Наименование организации,Полное наименование организации,Сайт,Индустрия,Даты,Телефоны,Текст,Документы
7,7705033216,"ОАО ""РОТ ФРОНТ""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОТ ФРОНТ""",www.rotfront.ru,Пищевая промышленность,,, error  ray id aacae       utc connection timed out you browser working frankfurt cloudflare working www rotfront ru host error what happened the initial connection between cloudflare s network and the origin web server timed out as a result the web page can not be displayed what can i do if you re a visitor of this website please try again in a few minutes if you re the owner of this website contact your hosting provider letting them know your web server is not completing requests an error  means that the request was able to connect to your web server but that the request didn t finish the most likely cause is that something on your server is hogging resources additional troubleshooting information here was this page helpful yes no thank you for your feedback cloudflare ray id aacae your ip     performance security by cloudflare  ,
17,5051000880,"АО ""ЩЛЗ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЩЕРБИНСКИЙ ЛИФТОСТРОИТЕЛЬНЫЙ ЗАВОД""",www.shlz.ru,Машиностроение,,8-800-350-30-50 8-800-350-30-50 8-800-350-30-50 8-495-739-67-39 8-800-350-30-50, компания о компании награды и отзывы история сертификаты и разрешения разрешения сертификаты на лифты сертификаты на устройства безопасности лифтов и двери шахт миссия и ценности фирменный стиль документы подрядчикам смр партнеры реквизиты продукция пассажирские панорамные больничные грузовые малые грузовые смарт технологии инвалидные подъемники виртуальный тур по шоуруму строительные задания пассажирские и больничные лифты серии есоmaks грузовые лифты лифты без машинного отделения услуги и сервисы техподдержка монтаж продажа запасных частей проектирование гарантийное обслуживание пресс центр сми о нас газета вверх фотогалерея видеогалерея аудиоэкскурсия по москве с щлз карьера закупки подрядчикам смр архив закупок технические задания контакты ещё задать вопрос      заказать звонок lift shlz ru  россия г москва г щербинка ул первомайская д  эт  каб  вконтакте telegram youtube      заказать звонок компания о компании награды и отзывы история сертификаты и разрешения разрешения сертификаты на лифты сертификаты на устройства безопасности лифтов и двери шахт миссия и ценности фирменный стиль документы подрядчикам смр партнеры реквизиты продукция пассажирские панорамные больничные грузовые малые грузовые смарт технологии инвалидные подъемники виртуальный тур по шоуруму строительные задания пассажирские и больничные лифты серии есоmaks грузовые лифты лифты без машинного отделения услуги и сервисы техподдержка монтаж продажа запасных частей проектирование гарантийное обслуживание пресс центр сми о нас газета вверх фотогалерея видеогалерея аудиоэкскурсия по москве с щлз карьера закупки подрядчикам смр архив закупок технические задания контакты компания о компании награды и отзывы история сертификаты и разрешения разрешения сертификаты на лифты сертификаты на устройства безопасности лифтов и двери шахт миссия и ценности фирменный стиль документы подрядчикам смр партнеры реквизиты продукция пассажирские панорамные больничные грузовые малые грузовые смарт технологии инвалидные подъемники виртуальный тур по шоуруму строительные задания пассажирские и больничные лифты серии есоmaks грузовые лифты лифты без машинного отделения услуги и сервисы техподдержка монтаж продажа запасных частей проектирование гарантийное обслуживание пресс центр сми о нас газета вверх фотогалерея видеогалерея аудиоэкскурсия по москве с щлз карьера закупки подрядчикам смр архив закупок технические задания контакты компания назад компания о компании награды и отзывы история сертификаты и разрешения назад сертификаты и разрешения разрешения сертификаты на лифты сертификаты на устройства безопасности лифтов и двери шахт миссия и ценности фирменный стиль документы подрядчикам смр партнеры реквизиты продукция назад продукция пассажирские панорамные больничные грузовые малые грузовые смарт технологии инвалидные подъемники виртуальный тур по шоуруму строительные задания назад строительные задания пассажирские и больничные лифты серии есоmaks грузовые лифты лифты без машинного отделения услуги и сервисы назад услуги и сервисы техподдержка монтаж продажа запасных частей проектирование гарантийное обслуживание пресс центр назад пресс центр сми о нас газета вверх фотогалерея видеогалерея аудиоэкскурсия по москве с щлз карьера закупки назад закупки подрядчикам смр архив закупок технические задания контакты      lift shlz ru  россия г москва г щербинка ул первомайская д  эт  каб  вконтакте telegram youtube пассажирские лифты качественные современные лифты сочетающие в себе наиболее удачные инженерно технические решения с грузоподъемностью от  до  кг скачать каталог о компании щербинский лифтостроительный завод производитель высококлассного лифтового оборудования на территории россии и за рубежом подробнее карьера начните свою карьеру в одной из ведущих компаний по производству лифтового оборудования в россии подробнее prev next d дизайн кабины создайте свой индивидуальный дизайн кабины пассажирские лифты технически совершенные лифты для повседневной жизни города панорамные лифты панорамные лифты которые превращают рутину в удовольствие весь каталог продукция пассажирские пассажирские панорамные больничные грузовые малые грузовые смарт технологии инвалидные подъемники виртуальный тур по шоуруму строительные задания весь каталог пассажирские наша компания производит пассажирские лифты для жилых и административных зданий грузоподъемностью от  до  кг и скоростью передвижения до  м c лифты изготавливаются исходя из потребностей наших заказчиков вы можете выбрать необходимую систему управления лифта готовую отделку или индивидуальный дизайн кабины для удобства наших заказчиков мы разделили варианты отделки на три категории класс стандарт класс комфорт и класс премиум комбинируя материалы вы создаёте собственный проект лифта для безупречного дизайна здания с новыми вариантами отделочных материалов и дизайнами кабин вы можете ознакомиться в нашем каталоге мы производим современные лифты как с машинным помещением так и без машинного помещения отсутствие машинного помещения позволяет сократить объем строительных работ учитывать архитектурные особенности здания и имеет ряд других преимуществ подробнее панорамные панорамный лифт это эффектное архитектурное решение для коммерческих зданий стекло в дизайне шахты и самой кабины открывает широкий обзор для пассажиров и тех кто видит такой лифт с внешний стороны установить обзорный лифт можно как внутри помещения так и с открытой стороны здания подробнее больничные конструкторы ао щлз разработали несколько вариантов лифтов для лечебно профилактических учреждений с учетом всех требований предъявляемых к перевозке больных подробнее грузовые производимые лифты соответствуют европейским и отечественным нормам безопасности гост   а также нормам пожарной безопасности на выбор заказчика мы предлагаем различные варианты исполнения грузовых лифтов с электрическим приводом проходным и непроходным исполнением кабины с наружным внутренним или смешанным управлением с огнестойкими или неогнестойкими дверями шахты подробнее малые грузовые малые грузовые лифты незаменимы в сфере обслуживания для удобной работы в ресторанах магазинах прачечных банках архивах библиотеках гостиницах и в производственных помещениях сервисный лифт ао щлз практически бесшумен и поглощает мало электроэнергии плавность хода обеспечивается применением в качестве тягового органа канатов вместо цепи подробнее смарт технологии скачать каталог подробнее инвалидные подъемники инвалидные подъемники являются важным элементом обеспечения безбарьерной среды в городах и позволяют маломобильным группам граждан свободно передвигаться по уровням зданий и на улицах подробнее виртуальный тур по шоуруму шоурум щлз это современный выставочный зал где потенциальные заказчики могут выбрать дизайн и комфорт разных моделей лифтов по своему вкусу концепт шоурума в стиле лофт хайтек реализован с применением современных материалов технологий и удачной эргономики это чистые линии утонченные приглушенные цвета и контрастные промышленные акценты состоит из нескольких зон образцы кабин варианты отделки комплектующие и инновационные конструкторские разработки посетители могут буквально сравнить ощущения от разных моделей рассмотреть вблизи материалы для отделки стен напольные покрытия освещение зеркала панели управления кнопки и многое другое центр притяжения панорамный лифт вокруг которого расположена зеркальный тоннель имитирующая шахту никого не оставит равнодушным малый грузовой лифт он гостеприимно открывает двери и угощает посетителей ароматным кофе и чаем помимо этого в шоуруме щлз можно собрать d модель лифта из образцов материалов с помощью интерактивного конфигуратора расположенного в тач панели пользователь сможет из предложенного каталога выбрать размер кабины окраску кабины или оформление стен вид приборных панелей а также добавить дополнительные элементы зеркала поручни и прочее после того как пользователь подберет понравившийся ему вариант можно будет сохранить заказ и выслать себе на e mail для оформления заказа подробнее строительные задания по всем интересующим вас вопросам обращайтесь в коммерческое управление ао щербинский лифтостроительный завод по тел      или email sales shlz ru обратите внимание все чертежи обновлены пассажирские и больничные лифты серии есоmaks грузовые лифты лифты без машинного отделения подробнее все услуги наши услуги техподдержка монтаж продажа запасных частей проектирование гарантийное обслуживание все проекты проекты лифты парк патриот лифты саяно шушенская гэс лифты санно бобслейный комплекс парамоново загрузить еще все публикации пресс центр подписаться на рассылку новости около половины всех лифтов чеченской республики произведены на щлз  июня  новости поздравляем с днем защиты детей  июня  новости с днём сварщика  мая  новости в  году щербинский лифтостроительный завод произвел четверть подъемников от общего числа в стране  мая  новости концентрат жизнелюбия  мая  новости умные лифты щербинского завода установят в домах в челябинске  апреля  загрузить еще все партнеры наши партнеры все публикации мы в instagram компания продукция услуги и сервисы пресс центр карьера закупки контакты вконтакте telegram youtube      заказать звонок lift shlz ru  россия г москва г щербинка ул первомайская д  эт  каб  подписка на рассылку версия для печати  ао щербинский лифтостроительный завод найти  производство лифтов,https://www.shlz.ru/upload/shlz/catalog_shlz.pdf
26,7724075162,"ФГБУ ""НМИЦ ОНКОЛОГИИ ИМ. Н.Н. БЛОХИНА МИНЗДРАВА РОССИИ""","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ОНКОЛОГИИ ИМЕНИ Н.Н. БЛОХИНА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",www.ronc.ru,Медицинская промышленность,30.8.2022 30.8.2022 30.8.2022 30.8.2022 5.11.2022 16.5.2022,8-499-324-24-24 8-499-324-25-94 8-499-324-24-24 8-499-324-25-94 8-499-324-90-14 8-499-324-26-50 8-499-324-93-84 8-495-755-31-51 8-499-324-90-94 8-499-324-24-24 8-499-324-19-20 8-499-324-19-40 8-499-324-91-19 8-499-324-24-24 8-499-323-56-22," фгбу нмиц онкологии им н н блохина минздрава россии версия сайта для слабовидящих info ronc ru      колл центр      платные услуги пн чт c   до   пт c   до   о центре история руководство структура лента событий документы антикоррупционная политика вакансии отзывы друзья центра рак боится смелых профсоюз медицина бесплатная медицинская помощь омс и вмп консультация диагностика диагностика для несовершеннолетних пациентов госпитализация амбулаторное лечение дневной стационар лечение лечение несовершеннолетних пациентов реабилитация диспансерное наблюдение клинические исследования образование основные сведения структура и органы управления образовательной организацией документы образование образовательные стандарты руководство педагогический состав материально техническое обеспечение и оснащенность педагогического процесса стипендии и иные виды материальной поддержки платные образовательные услуги финансово хозяйственная деятельность вакантные места для приема перевода международное сотрудничество доступная среда портфолио обучающихся аспирантура ординатура дпо повышение квалификации первичная специализированная аккредитация наука библиотека объявления о защитах патентный отдел диссертационные советы мероприятия контакты записаться на прием главный онколог врачи медицинский туризм гостиница телемедицина пресс служба платные услуги о центре история руководство структура лента событий документы антикоррупционная политика вакансии отзывы друзья центра рак боится смелых профсоюз медицина бесплатная медицинская помощь омс и вмп консультация диагностика диагностика для несовершеннолетних пациентов госпитализация амбулаторное лечение дневной стационар лечение лечение несовершеннолетних пациентов реабилитация диспансерное наблюдение клинические исследования образование основные сведения структура и органы управления образовательной организацией документы образование образовательные стандарты руководство педагогический состав материально техническое обеспечение и оснащенность педагогического процесса стипендии и иные виды материальной поддержки платные образовательные услуги финансово хозяйственная деятельность вакантные места для приема перевода международное сотрудничество доступная среда портфолио обучающихся аспирантура ординатура дпо повышение квалификации первичная специализированная аккредитация наука библиотека объявления о защитах патентный отдел диссертационные советы мероприятия контакты главный онколог врачи медицинский туризм гостиница телемедицина пресс служба платные услуги info ronc ru      колл центр      платные услуги пн чт c   до   пт c   до   версия сайта для слабовидящих хирургическое отделение комбинированного лечения опухолей молочной железы злокачественные и доброкачественные опухоли молочных желёз реконструктивные и пластические операции подробнее отделение пластической хирургии одномоментная и отсроченная реконструкция микрохирургические операции обращаться по московскому времени пн пт          телеграм канал t me dve_grudi подробнее хирургическое отделение абдоминальной онкологии онкологические заболевания желудка тонкой и толстой кишки кроме прямой поджелудочной железы и печени надпочечников подробнее отделение нейрохирургическое заболевания центральной нервной системы головного и спинного мозга сосудистые патологии лечение хронического болевого синдрома           подробнее подробнее отдел общей онкологии опухоли опорно двигательного аппарата позвоночника кожи и мягких тканей малоинвазивное лечение хронического болевого синдрома подробнее хирургическое отделение онкоурологии онкологические заболевания мочевого пузыря почки предстательной железы полового члена яичка      подробнее отделение медицинской реабилитации постмастэктомический синдром нарушение подвижности суставов восстановление после онкоортопедических операций пострезекционные синдромы в области жкт инконтиненция задержка мочеиспускания после операции на органах малого таза подготовка к операции на пищеводе и желудке      подробнее подробнее контакты колл центр запись на приём обращения по общим вопросам      подробнее подробнее отделение эндокринной онкологии опухоли надпочечников синдромы мэн опухоли щитовидной поджелудочной паращитовидных желёз нейроэндокринные опухоли желудка и кишки метастазы из невыявленного первичного очага           подробнее хирургическое отделение колопроктологии онкологические заболевания ободочной и прямой кишки анального канала обращаться по московскому времени пн пт          procto clinic ronc ru подробнее как стать донором крови позитронная эмиссионная томография пэт хронический болевой синдром комплексное кардиологическое обследование терапия препаратом радия хлоридом ra малоинвазивное лечение хронического болевого синдрома радиоизотопная диагностика отделение рентгенохирургических методов диагностики и лечения новые правила госпитализации в онкоцентр новости все новости       больше    спасенных жизней директор нмиц блохина иван стилиди стал лауреатом государственной премии подробнее       ивану стилиди и давиду заридзе присуждены государственные премии россии в сфере науки и технологии за  год подробнее       в эту пятницу  июля нмиц онкологии им н н блохина и фонд по борьбе с онкологическими заболеваниями им н н блохина проводят научно образовательную конференцию множественная миелома подробнее       onco academy нмиц онкологии им н н блохина приглашает вас принять участие в научно практической конференции рак молочной железы подробнее       в нии детской онкологии и гематологии онкоцентра прошла встреча с благотворительными фондами и волонтерскими организациями поддерживающими маленьких пациентов подробнее        июня стартовал конкурсный набор на участие в интенсив курсе onco academy по абдоминальной хирургии подробнее обращение директора центра дорогие пациенты ваши родственники и друзья онкологическое заболевание сегодня это не финал жизненного пути но нередко на определенном этапе болезнь причиняет пациенту сильные страдания физические и душевные как правило в эти переживания глубоко вовлечены родственники и близкие наша задача найти правильное и лучшее решение вашей проблемы мы знаем как вам помочь наши врачи совмещают высококачественную лечебную помощь с душевной заботой о пациенте и его близких стилиди и с наши специалисты все специалисты подлужный данил викторович заведующий отделением врач онколог к м н бохян ваган юрикович заведующий отделением врач онколог д м н петрова галина дмитриевна заведующая отделением врач гематолог научный сотрудник к м н завольская жанна александровна заведующая отделением врач онколог к м н кононец павел вячеславович директор нии ко им н н трапезникова заведующий хирургическим отделением  торакальной онкологии к м н малихова ольга александровна заведующая отделением врач эндоскопист д м н мамедли заман заурович заведующий отделением врач онколог к м н заботина татьяна николаевна заведующая отделом д м н погребняков игорь владимирович заведующий отделением рентгенохирургических методов диагностики и лечения к м н черных марина васильевна заместитель директора по лечебной работе нии киэр заведующая отделением радиотерапии врач радиотерапевт к м н дзампаев аслан зелимханович заведующий отделением врач детский онколог к м н медведева бэла михайловна заведующая отделением врач рентгенолог ведущий научный сотрудник д м н сушенцов евгений александрович заведующий отделением врач онколог к м н трякин алексей александрович заместитель директора нии ко по научной работе заведующий химиотерапевтическим отделением  д м н профессор быкова евгения александровна заведующая отделением врач приёмного отделения врач онколог бердников сергей николаевич заведующий отделением врач ультразвуковой диагностики научный сотрудник к м н артамонова елена владимировна заведующая отделением врач онколог д м н матинян нуне вануниевна заведующая отделением врач анестезиолог реаниматолог ведущий научный сотрудник д м н малахова алина анатольевна заведующая отделом врач детский онколог петровский александр валерьевич заместитель директора нмиц по образовательной деятельности заведующий хирургическим отделением  комбинированного лечения опухолей молочной железы к м н тупицын николай николаевич заведующий лабораторией врач клинической лабораторной диагностики д м н профессор михайлова светлана николаевна заведующая отделением врач детский онколог ведущий научный сотрудник к м н демидов лев вадимович заведующий отделением врач онколог д м н профессор виршке эдуард рейнгольдович заведующий рентгенооперационным блоком д м н шевчук алексей сергеевич заведующий отделением врач онколог к м н тюляндина александра сергеевна заведующая отделением врач онколог д м н матвеев всеволод борисович заместитель директора нмиц по научной и инновационной работе заведующий хирургическим отделением  онкоурологии д м н профессор член корреспондент ран бекяшев али хасьянович заведующий отделением врач нейрохирург д м н валиев аслан камраддинович заведующий отделением врач онколог к м н отзывы пациентов оставить отзыв все отзывы проходил лечение в отделении химиотерапии гемобластозов  этаж нмиц онкологии им н н блохина с сентября  года по март  года всё это время меня окружали своей заботой и вниманием замечательные люди сотрудники центра спасли меня операцией вселили надежду и жажду жизни в настоящее время чувствую себя хорошо очень надеюсь на длительную ремиссию благодарю за оказанную помощь и поддержку в трудные для меня дни моего лечащего врача валерию олеговну шпирко а также команду медиков специалистов своего дела сопровождавших себя всё это время дарью николаевну тупицыну зав отделением гаяне сепуговну тумян владислава евгеньевича бугаёва ведущего научного сотрудника хирурга от бога амира хусейновича абдуллаева зав отделением кирилла александровича борзова врачей диагностов старшего научного сотрудника татьяну юрьевну данзанову и зав отделением дамба дамдиновича цыренова и конечно же олега александровича коломейцева и кроме того всех медсестёр санитарных и технических работников центра спасибо всем аверьянов андрей геннадьевич хочу выразить искреннюю благодарность за чуткое и внимательное отношение врачу онкологу кабанову льву алексеевичу каб  с моим заболеванием рак яичников iv ст метастазы в селезенке неоднократно обращалась к этому врачу спокойный доброжелательный корректный профессионал своего дела все лучшие эпитеты для него юдаева валентина анатольевна саратов от всей души благодарна маркович алле анатольевне за её неравнодушное и внимательное отношение благодаря ей я попала в золотые руки онколога хирурга кудашкина николай евгеньевича искренняя благодарность заведующему хирургическим отделением подлужному данилу викторовичу за высокий уровень работы коллектива уважаемые кудашкин николай евгеньевич и сакибов байрамали иззатович огромное спасибо вам за высокий профессионализм за ваши заботу внимание доброту возможность в любой момент связаться с вами оптимизм за неисчерпаемую жизненную энергию которой хватает на всех и на всё спасибо газаряну эдуарду огановичу за его внимание и доброе отношение очень признательна и благодарна всем сотрудникам за их чёткость оперативность слаженность в работе профессионализм внимание чуткость доброе спокойное тёплое человеческое отношение добрая атмосфера царящая в коллективе способствовала только позитивным мыслям и веры в лучшее в чудо огромное всем спасибо вы лучшие копица оксана юрьевна с    по    проходил радиойод терапию в отделении радионуклидной терапии хочу выразить благодарность всему персоналу отделения за высокий уровень профессионализма отзывчивость и внимательность что так необходима пациентам в этот непростой период их жизни большое спасибо парнасу александру вадимовичу курирующему моё лечение каждый день интересовался моим самочувствием и отвечал на интересующие меня вопросы в ходе терапии и при выписке оперативно изучившему мою кт и подтвердив что моя терапия прошла успешно иванов кирилл андреевич москва хочу выразить свою благодарность врачу онкологу карякину алексею олеговичу за его золотые руки и доброе сердце алексей олегович доктор от бога внимательный отзывчивый человек дай бог вам здоровья долгих лет жизни побольше бы таких специалистов в нашей медицине каримов равиль хусяинович саратов заман заурович золотой человек огромная благодарность за тактичное доброе внимательное отношение к пациентам находилась с мужем его оперировали приехали мы из уфы спасибо что взяли нас что подарили нам веру в лучшее каждый вечер заман заурович заходит к каждому своему пациенту и интересуется самочувствием и это не смотря на то что у каждого есть свой лечащий врач все отделение лечащие врачи медсёстры уборщицы все все бегают целыми днями все тактичны и добры благодарю за то что есть такие врачи от бога орёл нелли аликовна республика башкортостан может это прозвучит слишком пафосно но для меня всегда лётчики и хирурги были следующими после бога я искренне благодарен и признателен моим хирургам кудашкину н е и сакибову б и благодаря профессиональному мастерству николая евгеньевича мне посчастливилось довольно легко перенести такую тяжёлую операцию в послеоперационном периоде не было ни одного дня включая выходные и майские праздники без врачебного обхода байрама иззатовича его человеческое внимание ежедневный контроль и коррекция лечения безусловно обеспечили моё быстрое восстановление отдельное спасибо анестезиологу абудееву с а одним из условий успешной операции является адекватное качественное обезболивание сергей анатольевич не просто прекрасно владеет этим искусством он сумел найти такие слова и интонации что я перестал бояться предстоящей операции и конечно выражаю огромную благодарность врачу онкологу маркович а а алла анатольевна провела большую подготовительную работу вместе с врачами мрт и рентген хирургии сергеевой о н перегудовым н а она определила оптимальную тактику лечения в моём непростом случае спасибо всему персоналу  го хирургического отделения центра блохина вы лучшие твердохлиб дмитрий вячеславович оренбург хочу поблагодарить от всей души врачей хирургов от бога кудашкина николая евгеньевича и сакибова байрамали иззатовича моя операция длилась почти  часов госпитализация почти три недели всё это время врачи были рядом они вселяли в меня веру в жизнь у них золотые руки и добрые сердца низкий поклон медицинский персонал центра всегда на высшем уровне вежливый и заботливый благодаря нмиц онкологии им н н блохина я знаю что моя жизнь продолжается алфёрова татьяна валентиновна тамбов не могу не сказать слова благодарности стениной марине борисовне с которой познакомилась в чрезвычайно сложный для меня момент в химиотерапевтическом отделении  под руководством артамоновой е в за профессионализм тактичность и умение находить нужные слова слова которые будут поняты приняты и дадут очень ценное ощущение уверенности что тебе помогут а без уверенности не может быть спокойствия которое в процессе прохождения курса химиотерапии бесценно отдельная благодарность евдокимовой е в за внимательность участие на всем протяжении лечения отзывчивость и терпение бороться с болезнью сложно и страшно но мне повезло что рядом была такая команда панфилова юлия москва друзья центра некоммерческие организациикоммерческие организации загрузка карты контакты фактический адрес  г москва каширское шоссе д  единая справочная служба      справочная служба детского института      нашли ошибку на странице выделите её и нажмите ctrl enter или напишите нам на почту www ronc ru все права защищены  фгбу нмиц онкологии им н н блохина минздрава россии ошибка на сайте отправить  онкоцентр – это уникальный симбиоз науки и клинической практики, мультидисциплинарный подход к лечению онкологических больных, хирургическая школа, известная далеко за пределами россии.",
