№,ИНН,Наименование организации,Полное наименование организации,Сайт
7,7705033216,"ОАО ""РОТ ФРОНТ""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОТ ФРОНТ""",www.rotfront.ru
17,5051000880,"АО ""ЩЛЗ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЩЕРБИНСКИЙ ЛИФТОСТРОИТЕЛЬНЫЙ ЗАВОД""",www.shlz.ru
26,7724075162,"ФГБУ ""НМИЦ ОНКОЛОГИИ ИМ. Н.Н. БЛОХИНА МИНЗДРАВА РОССИИ""","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ОНКОЛОГИИ ИМЕНИ Н.Н. БЛОХИНА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",www.ronc.ru; https://naukoprofy.ru/
55,7720605108,"ООО ""ФАБРИКА ВЕНТИЛЯЦИИ ГАЛВЕНТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАБРИКА ВЕНТИЛЯЦИИ ГАЛВЕНТ""",www.ventilyacia.ru
80,7724190750,"АО ""СМЕРФИТ КАППА РУС""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМЕРФИТ КАППА РУС""",www.smurfitkappa.com/ru
83,7701165130,"ООО ""НПП ""СПЕЦКАБЕЛЬ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НПП ""СПЕЦКАБЕЛЬ""",www.spcable.ru
86,7718014490,"АО ""САНТЕХПРОМ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""САНТЕХПРОМ""",www.santexprom.ru; https://santehprom-r.ru/contact/
97,7722314584,"ООО ""ЮНИТЕЛ ИНЖИНИРИНГ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИТЕЛ ИНЖИНИРИНГ""",www.uni-eng.ru
121,5074018058,"ООО ""РУССКИЙ РЫБНЫЙ МИР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКИЙ РЫБНЫЙ МИР""",www.rusfishworld.ru
153,7713752430,"АО ""СПЕЦМАГНИТ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦМАГНИТ""",www.s-magnet.ru
